,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
3025,AdaGrad,128,4,relu,MAE,MAE,4.087947845458984,0.513562469702763
3026,AdaGrad,128,4,relu,MAE,MSE,40.818843841552734,0.4170996748464282
3027,AdaGrad,128,4,relu,MSE,MeanAbsolutePercentageError,16.506629943847656,0.6830943292677898
3028,AdaGrad,128,4,relu,MSE,MAE,3.0477535724639893,0.7013177935180419
3029,AdaGrad,128,4,relu,MSE,MSE,27.5211238861084,0.6069934786974578
3030,AdaGrad,128,4,relu,Huber,MeanAbsolutePercentageError,24.167367935180664,0.4177979813287396
3031,AdaGrad,128,4,relu,Huber,MAE,5.885880470275879,0.1574042002249718
3032,AdaGrad,128,4,relu,Huber,MSE,34.613956451416016,0.5057064771661124
3033,AdaGrad,128,4,relu,LogCosh,MeanAbsolutePercentageError,25.518016815185547,0.36803437250928883
3034,AdaGrad,128,4,relu,LogCosh,MAE,4.503739833831787,0.42317727560683804
3035,AdaGrad,128,4,relu,LogCosh,MSE,32.73048400878906,0.5326028860674112
3036,AdaGrad,128,4,tanh,MAE,MeanAbsolutePercentageError,62.35250473022461,-2.3174408726519435
3037,AdaGrad,128,4,tanh,MAE,MAE,13.749757766723633,-2.5001141288917874
3038,AdaGrad,128,4,tanh,MAE,MSE,244.80520629882812,-2.4958616947736876
3039,AdaGrad,128,4,tanh,MSE,MeanAbsolutePercentageError,67.44000244140625,-2.2271570796672937
3040,AdaGrad,128,4,tanh,MSE,MAE,12.165698051452637,-1.9210916935068978
3041,AdaGrad,128,4,tanh,MSE,MSE,232.26217651367188,-2.316745128028582
3042,AdaGrad,128,4,tanh,Huber,MeanAbsolutePercentageError,59.11894989013672,-2.129084464090453
3043,AdaGrad,128,4,tanh,Huber,MAE,14.478450775146484,-2.808772953860753
3044,AdaGrad,128,4,tanh,Huber,MSE,272.4529724121094,-2.890676567422743
3045,AdaGrad,128,4,tanh,LogCosh,MeanAbsolutePercentageError,60.706993103027344,-2.6897105104910013
3046,AdaGrad,128,4,tanh,LogCosh,MAE,13.656915664672852,-2.600213519752414
3047,AdaGrad,128,4,tanh,LogCosh,MSE,275.0517883300781,-2.9277886155876076
3048,AdaGrad,128,4,sigmoid,MAE,MeanAbsolutePercentageError,59.18893814086914,-2.6889550509323987
3049,AdaGrad,128,4,sigmoid,MAE,MAE,12.36111068725586,-2.1285093838565214
3050,AdaGrad,128,4,sigmoid,MAE,MSE,253.48947143554688,-2.6198744549826234
3051,AdaGrad,128,4,sigmoid,MSE,MeanAbsolutePercentageError,51.295894622802734,-2.05074070659078
3052,AdaGrad,128,4,sigmoid,MSE,MAE,10.628917694091797,-1.4958672685725611
3053,AdaGrad,128,4,sigmoid,MSE,MSE,231.16262817382812,-2.3010431136871925
3054,AdaGrad,128,4,sigmoid,Huber,MeanAbsolutePercentageError,56.92784118652344,-2.505135646775306
3055,AdaGrad,128,4,sigmoid,Huber,MAE,13.174141883850098,-2.4442323225395195
3056,AdaGrad,128,4,sigmoid,Huber,MSE,276.1070251464844,-2.9428571427715426
3057,AdaGrad,128,4,sigmoid,LogCosh,MeanAbsolutePercentageError,60.349395751953125,-2.787266127644618
3058,AdaGrad,128,4,sigmoid,LogCosh,MAE,14.071903228759766,-2.8071758788290917
3059,AdaGrad,128,4,sigmoid,LogCosh,MSE,273.6294860839844,-2.9074773121998123
3060,AdaGrad,128,5,linear,MAE,MeanAbsolutePercentageError,17.886642456054688,0.567231452303997
3061,AdaGrad,128,5,linear,MAE,MAE,3.2706403732299805,0.5704211011316438
3062,AdaGrad,128,5,linear,MAE,MSE,30.912282943725586,0.5585671323862641
3063,AdaGrad,128,5,linear,MSE,MeanAbsolutePercentageError,16.4492130279541,0.673246234840117
3064,AdaGrad,128,5,linear,MSE,MAE,3.1884562969207764,0.6678600731740227
3065,AdaGrad,128,5,linear,MSE,MSE,23.617441177368164,0.6627387818869153
